172- (63°36' ,147°52')|.Bt granite medium-grained|.J 3|.Okhandzhin massif|.N.I|.Morozova. |+Det.:H20|-0.30|(V.A.Serebryakov,1959). 
173- (60°57' ,153°55') |.Granite medium-grained|.K2|.Upper|-Kilganin massif|.M.V.Kondrashina||.Det.:H2o+-0.41|(Yu.G.Kobylyansky,1964) . 
174- (59°55' ,139°18')|.Granite|.K2|.Oth.:S03-0.ll|(V|.V.Gromov,1973). 
175- (53°56'40",115°42'10") |.Granite alkaline|.Tr-J|.Kontalak massif|.L.E.Fedoseeva|(V.S.Ivanov,1968). 
176- (53°50' ,115°16'4q")|.Granite alkaline|.Tr-J1|.Upper|-Talachin massif|.V|.I|.Zhigalova|(V.A.Popeko,1967). 
177- (51°12' ,113°12')|.Granite porphyraceous|.J3|.V|.I|.Zhigalova|(E|.T.Bubnov,1964) . 
178- (50°15' ,112°49')|.Granite|.J 1_2|(V.K.Borovkov,1968). 
179- (50°27' ,133°28')|.Bt granite porphyraceous|.K2|(V||.E.Proskurnikov||,1958) . 
180|- (69°53',140°08')|.Granite|-porphyry|.K1|.Bakyn mas sif|.N.D.Tikhon'kikh|(L|.A.Mu sal itin|,1 967) . 
181|- (67°52' ,179°2I'W)|.Granite medium-grained|.K2|.Iul~tin massif|.Det|.|:H2o+-0.25|(E.G.Bordyugov,1964). 
182- (60°29'40",142°0!'20")|.Granite leucocratic|.K2|.Det|.|:H2o+-0.16|(V|.M.Aleksandrov,1970) . 
183- (51°15' ,134°11')|.Granite|.K2|(L.A.Ivanov,1935). 
184- (44°32'30",135°42'10")|.Granophyre|.K2-Pg1|.E.M.Naktinas|(V.A.Baskina,1965). 
185- (52°34'20",ll5°15'30")|.Granite-porphyry alaskitic|.J3|.Dolutur massif|.N.I.Ogneva|(A.M.Strelov,1959). 
186- (50°06' ,109°46')|.Amf|-Bt granite medium-grained|.Tr|.D.M.Shuster|(E.T.Bubnov,1961). 
187- (69°43' ,176°05')|.Granite leucocratic fine-grained|.K1|.Velitkinay massif|.O.N.Kobylina|.Oth.:Ba0-0.03|(A.O.Andrianov,1939). 
188- (46°35'05",105°26'30")|.Granite-porphyry|.J3|.Det.:S03-0.04|,co2||~0.22|.(V.M.Yakimov,1974). 
189- (66°36' ,179°03'W)|.Hb|-Bt granite porphyraceous medium-grained||.K2|.Iskaten massif|(A.M.Timofeev,1956). 
190- (60°32' ,149°43')|.Granite|-porphyry subalkaline|.K2|.M.P.Belopol'sky|(G.A|.Topunova,1946). 
191- (51°08' ,112°57')|.Morion-granite|.J3|.Olenguy massif|.D.M.Shuster|(E|.V.Barabashev,1959). 
192- (53°09' ,140°58')|.Aplite|.Pg3|{V.R.Polikanov,1966). 
193- {-52°15|'40"|,110°15|'40")|.Granite-porphyry|.Tr-J1|(V|.I|.Pelepyagin|,1975). 
194- (45°36'05",136°35'50")|.Granite leucocratic|.K2|.I.M.Lalykina|(A.I||.Burde,1964). 
195~ (62°23' ,149°17')|.Two mica granite|.K1|.Big Annachag massif|.P.V.Artemenko|.Oth.:As|-0.01|(V.N.Lipatov,1959). 
196- (60°35',149°41')|.Bt granite leucocratic medium-grained|.K2|.Right|-Seymkan massif|.P|.I||.Levin|.Oth.:Sn-0.02|(A.F.Mikhaylov,1948). 
197- (62°10' ,155°13')|.Bt granite fine|-grained|.K2|.Mayak massif|.N.V.Voronkova|.Oth.:co2~0.3|(M.G.Rub,1966). 
198- (47°10'25",137°07'40")|.Aplite|.K2|(I|.Z|.Bur'yanova,1968). 
199- (53°16' ,111°59'30")|.Granite|-porphyry|.J|.E.A.Kotlyarova|(E.E|.Zelensky|,1974). 
200|- (50°00' ,112°35')|.Granite-porphyry|.J3|.Kharalgin massif|.L.S.Voronova|(N.K.Dmitrochenko,1962). 
201- (54°05'35",116°21'10")|.Granite leucocratic alkaline|.Tr-J|.V.I.Zhigalova|(S.P.Smelovsky,1968). 
202- (51°21',134°34')|.Bt granite|.K2|.Dussealin intrusion|(M.T.Turbin,1960). 
203- (52°08' ,112°40')|.Granite|.J1|.Arachin|.massif|.U.M.Samochernova|(V.P.Kuznetsov,1959). 
204- (49°37' ,110°23')|.Alaskite|.J2|.N.A.Ogneva|(P.I.Taraban'ko,1960). 
205- (48°13' ,136°30')|.Granite alaskitic|.K2|(G.I.Stepanov,1960). 
206- (47°48'25",138°04'25")|.Granite|.K2|.Elazavs|~massif|.Det.:H2o+-0.59|(A.V.Oleynikov,1972). 
207- (53°04' ,133°15')|.Aplite|.K2|(G.I.Neronsky,1962). 
208- (44°39'20",136°12'05")|.Granite|.K2-Pg1|.M.L.Sheshkovskaya|.Oth.:Ba0-0.03|,co2-0.03|(M.A.Favorskaya,1956). 
209- (59°42',150°53')|.Granite micropegmatitic|.K1|.Magadan batholite|.G.S.Gormasheva|.Det.:H2o+-o.os|(M.P.Krutous,1960). 
210- (62°38' ,156°04')|.Granite fine-grained|.K2 Left-Omsukchan massif|.M.P.Belopol'skaya|(I.M.Speranskaya,1956). 
211- (49°44',109°03')|.Granite alaskitic medium-grained|.J2|.N.A.Lebedeva|(N.P.Kostyakov,1966). 
212- (53°53'50",115°37'30")|.Granite alkaline|.Tr-J|.Kontalakan-Marektin massif|.L.E.Fedoseeva|(V.S.Ivanov,1968). 
213~ (52°34'20",115°15'30")|.Granite-porphyry alkaline alaskitic|.J3|.Dolutur massif|(A.M.Strelov,1959). 
